name,member_count,following_count,club_type,date
"Club des KOM",9834,0,"casual_club","20221203-153645"
"Club des KOM",9834,0,"casual_club","20221203-153834"
"Club des KOM",9834,0,"casual_club","20221203-154437"
"Club des KOM",9834,0,"casual_club","20221203-154832"
"Club des KOM",9834,0,"casual_club","20221204-092731"
"Club des KOM",9834,0,"casual_club","20221204-150701"
"Club des KOM",9833,0,"casual_club","20221206-020750"
"Club des KOM",9833,0,"casual_club","20221206-024200"
"Club des KOM",9833,0,"casual_club","20221206-024441"
"Club des KOM",9833,0,"casual_club","20221206-024553"
"Club des KOM",9833,0,"casual_club","20221206-142836"
"Club des KOM",9834,0,"casual_club","20221207-133113"
"Club des KOM",9837,0,"casual_club","20221208-154036"
"Club des KOM",9839,0,"casual_club","20221209-042927"
"Club des KOM",9839,0,"casual_club","20221209-050233"
"Club des KOM",9839,0,"casual_club","20221210-052302"
"Club des KOM",9839,0,"casual_club","20221210-082915"
"Club des KOM",9839,0,"casual_club","20221210-085001"
"Club des KOM",9839,0,"casual_club","20221211-053311"
"Club des KOM",9839,0,"casual_club","20221211-175952"
